time	reading
1405526481	49.990776
1405526482	49.990108
1405526483	49.989483
1405526484	49.989197
1405526485	49.98925
1405526486	49.98959
1405526487	49.990295
1405526488	49.991211
1405526489	49.992695
1405526490	49.994598
1405526491	49.996548
1405526492	49.998379
1405526493	49.999924
1405526494	50.00087
1405526495	50.001324
1405526496	50.001606
1405526497	50.002102
1405526498	50.002769
1405526499	50.003181
1405526500	50.003643
1405526501	50.004242
1405526502	50.00518
1405526503	50.006516
1405526504	50.007927
1405526505	50.009453
1405526506	50.011124
1405526507	50.012917
1405526508	50.014576
1405526509	50.015926
1405526510	50.01725
1405526511	50.018272
1405526512	50.01894
1405526513	50.019722
1405526514	50.020481
1405526515	50.020699
1405526516	50.020767
1405526517	50.020676
1405526518	50.020512
1405526519	50.020653
1405526520	50.020943
1405526521	50.021183
1405526522	50.021484
1405526523	50.021957
1405526524	50.022358
1405526525	50.022652
1405526526	50.022743
1405526527	50.022877
1405526528	50.023109
1405526529	50.023491
1405526530	50.024071
1405526531	50.02496
1405526532	50.025993
1405526533	50.026745
1405526534	50.027302
1405526535	50.027664
1405526536	50.02763
1405526537	50.027256
1405526538	50.026745
1405526539	50.026108
1405526540	50.025097
1405526541	50.023781
1405526542	50.022556
1405526543	50.021599
1405526544	50.021046
1405526545	50.020782
1405526546	50.02076
1405526548	50.02087
1405526549	50.021023
1405526550	50.021255
1405526551	50.021629
1405526552	50.02219
1405526553	50.022617
1405526554	50.023056
1405526555	50.02359
1405526556	50.024143
1405526557	50.024464
1405526558	50.024681
1405526559	50.024868
1405526560	50.024826
1405526561	50.024681
1405526562	50.024868
1405526563	50.025284
1405526564	50.025578
1405526565	50.025795
1405526566	50.026119
1405526567	50.026535
1405526568	50.026928
1405526569	50.027416
1405526570	50.027935
1405526571	50.028305
1405526572	50.028553
1405526573	50.028606
1405526574	50.028522
1405526575	50.028271
1405526576	50.027958
1405526577	50.027603
1405526578	50.027119
1405526579	50.026611
1405526580	50.025875
1405526581	50.025261
1405526582	50.024708
1405526583	50.024349
1405526584	50.024067
1405526585	50.023865
1405526586	50.023937
1405526587	50.024193
1405526588	50.024399
1405526589	50.024349
1405526590	50.02417
1405526591	50.023945
1405526592	50.023499
1405526593	50.022804
1405526594	50.022068
1405526595	50.02137
1405526596	50.020695
1405526597	50.020302
1405526598	50.020065
1405526599	50.019943
1405526600	50.019833
1405526601	50.019775
1405526602	50.019794
1405526603	50.019753
1405526604	50.019802
1405526605	50.019878
1405526606	50.019749
1405526607	50.019375
